Year,Species,Beach Name,Unique ID,Nest Date,Nest Day,Nest Week,Lat,Long,Initial Treatment,Final Treatment,Predated,Any Predation Pre-Hatch,Any Predation Post-Hatch But Pre-Inventory,Multiple Predators,Mammalian Predator,Predator ID,Ghost Crab Less Than 10 Eggs,Complete Predation,Roots,Eggs Scattered By Another Turtle,Poached,Accretion,Washed Over,Inundated,Complete Wash Out,Partial Wash Out,Wash Out Post-Hatch But Pre-Inventory,Wash Out Comments,Emerge Date,Emerge Day,Emerge Week,Incubation Duration,Inventoried,Inventoried Comments,Date Inventoried,Dead in Nest,Live in Nest,Empty Shells,Pipped Dead,Pipped Live,Whole,Damaged,Clutch Size,Hatching Success,Emergence Success,Emergence Rate,Binom Hatch Success,Binom Hatch Fail,Binom Emerge Success,Binom Emerge Fail,Additional Notes,Start,End,Duration,Buoy,Tide,Elevation,MHWtoDuneToe_Radians,MHWtoDuneToe_Degrees,MHWtoNest_Radians,MHWtoNest_Degrees,MSLtoNest_Radians,MSLtoNest_Degrees,Wave Exposure Proportion (Gen Eq),Wave Exposure Proportion (Dis Eq),MSL Elevation
2016,Cc,Cape San Blas AFB,CSAF_2016_006,7/16/2016,198,29,29.670754,-85.356885,B,B,Yes,Yes,No,No,Yes,Canid (Coyote),NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,"Predated, remaining washed out",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,7/16/2016,9/28/2016,74,Pensacola,Apalachicola,1.651,0.0065,0.37,0.007,0.4,0.0082,0.47,0.0150273,0.0191257,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_007,6/2/2016,154,23,29.67048,-85.35649,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,8/12/2016,0,0,0,0,0,69,0,69,0,0,0,0,69,0,69,,6/2/2016,8/12/2016,71,Pensacola,Apalachicola,1.367,0.0083,0.47,0.0072,0.41,0.0071,0.41,0.0300546,0.0355191,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_008,6/3/2016,155,23,29.67041,-85.35645,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,6/3/2016,8/16/2016,74,Pensacola,Apalachicola,1.386,0.0079,0.45,0.0056,0.32,0.0068,0.39,0.0300546,0.0355191,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_009,6/9/2016,161,24,29.67036,-85.35626,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,7/30/2016,212,31,51,Yes,,8/13/2016,6,0,62,21,0,7,0,90,0.689,0.622,0.903,62,28,56,34,,6/9/2016,7/30/2016,51,Pensacola,Apalachicola,1.589,0.0072,0.41,0.0081,0.46,0.0074,0.43,0.0177596,0.0218579,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_010,7/16/2016,198,29,29.670273,-85.356153,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,7/16/2016,9/28/2016,74,Pensacola,Apalachicola,1.673,0.0071,0.41,0.0082,0.47,0.008,0.46,0.0122951,0.0191257,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_011,5/23/2016,144,22,29.67012,-85.356,B,B,Yes,Yes,No,Yes,Yes,"Canid (Coyote), Ghost Crab",No,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Mammalian Predation,8/12/2016,0,0,0,0,0,0,70,70,0,0,0,0,70,0,70,,5/23/2016,8/12/2016,81,Pensacola,Apalachicola,1.649,0.0131,0.75,0.0085,0.49,0.0076,0.44,0.0177596,0.0218579,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_012,6/1/2016,153,23,29.67011,-85.35595,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,6/1/2016,8/14/2016,74,Pensacola,Apalachicola,1.623,0.0104,0.6,0.008,0.46,0.0073,0.42,0.0150273,0.0218579,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_013,7/17/2016,199,30,29.669941,-85.355826,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,7/17/2016,9/29/2016,74,Pensacola,Apalachicola,1.619,0.0099,0.57,0.0096,0.55,0.0077,0.44,0.0150273,0.0204918,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_014,7/13/2016,195,29,29.669484,-85.355187,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,7/13/2016,9/25/2016,74,Pensacola,Apalachicola,1.632,0.0109,0.62,0.0077,0.44,0.0074,0.42,0.0218579,0.0300546,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_015,7/16/2016,198,29,29.669487,-85.355133,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,Yes,No,NA,NA,NA,NA,NA,Yes,Partial Wash out,8/16/2016,0,0,0,0,0,67,0,67,0,0,0,0,67,0,67,,7/16/2016,8/16/2016,31,Pensacola,Apalachicola,1.584,0.0098,0.56,0.0073,0.42,0.0071,0.41,0.0300546,0.0355191,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_016,7/11/2016,193,29,29.66885,-85.354372,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,7/11/2016,9/23/2016,74,Pensacola,Apalachicola,4.246,0.0156,0.89,0.0196,1.12,0.0201,1.15,0,0,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_017,7/18/2016,200,30,29.668768,-85.354263,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,7/18/2016,9/30/2016,74,Pensacola,Apalachicola,4.685,0.0111,0.64,0.0213,1.22,0.0218,1.25,0,0,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_018,6/2/2016,154,23,29.66868,-85.35413,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,8/20/2016,0,0,0,0,0,103,0,103,0,0,0,0,103,0,103,,6/2/2016,8/20/2016,79,Pensacola,Apalachicola,2.203,0.0033,0.19,0.0091,0.52,0.0097,0.55,0.0068306,0.0068306,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_019,7/14/2016,196,29,29.668617,-85.354007,F,F,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,10/4/2016,0,0,0,0,0,125,0,125,0,0,0,0,125,0,125,,7/14/2016,10/4/2016,82,Pensacola,Apalachicola,1.182,0.014,0.8,0.0042,0.24,0.0049,0.28,0.0614754,0.0819672,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_020,7/21/2016,203,30,29.668541,-85.353968,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,7/21/2016,10/3/2016,74,Pensacola,Apalachicola,1.19,0.0067,0.38,0.0043,0.24,0.0049,0.28,0.0355191,0.0546448,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_021,7/13/2016,195,29,29.668474,-85.353713,B,B,No,No,No,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Couldn't locate,10/2/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,7/13/2016,10/2/2016,81,Pensacola,Apalachicola,1.362,0.0053,0.31,0.0048,0.28,0.0055,0.32,0.0245902,0.0355191,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_022,6/18/2016,170,25,29.668512,-85.353671,B,B,No,No,No,NA,NA,NA,NA,No,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/6/2016,1,0,79,9,0,1,0,89,0.888,0.876,0.987,79,10,78,11,,6/18/2016,9/6/2016,80,Pensacola,Apalachicola,1.583,0.005,0.29,0.0057,0.33,0.0063,0.36,0.0286885,0.0355191,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_023,6/11/2016,163,24,29.66832,-85.35359,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,8/8/2016,221,33,58,Yes,,8/11/2016,5,0,136,7,0,2,0,145,0.938,0.903,0.963,136,9,131,14,,6/11/2016,8/8/2016,58,Pensacola,Apalachicola,1.536,0.0091,0.52,0.0057,0.33,0.0062,0.36,0.023224,0.0300546,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_024,7/29/2016,211,31,29.668247,-85.353396,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,10/17/2016,0,0,0,0,0,118,0,118,0,0,0,0,118,0,118,,7/29/2016,10/17/2016,80,Pensacola,Apalachicola,1.188,0.0039,0.23,0.0039,0.22,0.0044,0.25,0.0355191,0.0491803,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_025,6/6/2016,158,24,29.6682,-85.35337,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,8/25/2016,0,0,0,0,0,122,2,124,0,0,0,0,124,0,124,,6/6/2016,8/25/2016,80,Pensacola,Apalachicola,1.118,0.0039,0.22,0.0036,0.2,0.0045,0.26,0.0505464,0.0778688,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_026,6/21/2016,173,26,29.66793,-85.35296,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,6/21/2016,9/3/2016,74,Pensacola,Apalachicola,0.933,0.0043,0.25,0.0035,0.2,0.0041,0.24,0.1284153,0.1734973,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_027,6/9/2016,161,24,29.66804,-85.3529,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,8/5/2016,218,32,57,Yes,,8/13/2016,3,0,113,1,0,5,0,119,0.95,0.924,0.973,113,6,110,9,,6/9/2016,8/5/2016,57,Pensacola,Apalachicola,1.149,0.0041,0.24,0.0041,0.23,0.005,0.29,0.0464481,0.0601093,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_028,5/20/2016,141,21,29.66792,-85.35286,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,8/3/2016,0,0,0,0,0,129,0,129,0,0,0,0,129,0,129,,5/20/2016,8/3/2016,75,Pensacola,Apalachicola,0.966,0.0042,0.24,0.0036,0.21,0.0042,0.24,0.114071,0.1543716,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_029,7/14/2016,196,29,29.667913,-85.352763,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,10/3/2016,0,0,0,0,0,89,0,89,0,0,0,0,89,0,89,,7/14/2016,10/3/2016,81,Pensacola,Apalachicola,1.132,0.0041,0.24,0.0038,0.22,0.0045,0.26,0.0525956,0.0724044,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_030,7/16/2016,198,29,29.667838,-85.352628,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,10/5/2016,0,0,0,0,0,124,0,124,0,0,0,0,124,0,124,,7/16/2016,10/5/2016,81,Pensacola,Apalachicola,1.146,0.0039,0.22,0.0037,0.21,0.0043,0.24,0.0560109,0.079235,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_031,6/24/2016,176,26,29.66769,-85.35256,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/8/2016,0,0,0,2,0,138,0,140,0,0,0,0,140,0,140,,6/24/2016,9/8/2016,76,Pensacola,Apalachicola,1.025,0.004,0.23,0.0032,0.18,0.0041,0.23,0.0860656,0.113388,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_032,7/23/2016,205,30,29.667502,-85.352486,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,7/23/2016,10/5/2016,74,Pensacola,Apalachicola,1.15,0.005,0.29,0.0043,0.25,0.0047,0.27,0.0491803,0.0669399,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_033,6/19/2016,171,26,29.6674,-85.35245,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/7/2016,0,0,1,0,0,83,0,84,0.012,0.012,1,1,83,1,83,,6/19/2016,9/7/2016,80,Pensacola,Apalachicola,1.175,0.0037,0.21,0.0047,0.27,0.0051,0.29,0.0464481,0.0601093,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_034,6/13/2016,165,25,29.66735,-85.35241,B,B,No,No,No,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Couldn't locate,8/31/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6/13/2016,8/31/2016,79,Pensacola,Apalachicola,1.196,0.0056,0.32,0.005,0.29,0.0052,0.3,0.045765,0.0601093,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_035,7/5/2016,187,28,29.667472,-85.352382,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/22/2016,0,0,0,0,0,112,0,112,0,0,0,0,112,0,112,,7/5/2016,9/22/2016,79,Pensacola,Apalachicola,1.22,0.0039,0.22,0.0048,0.27,0.0051,0.29,0.0382514,0.0491803,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_036,6/10/2016,162,24,29.667606,-85.35217,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,8/3/2016,216,32,54,Yes,,8/8/2016,3,0,71,1,0,14,0,86,0.826,0.791,0.958,71,15,68,18,,6/10/2016,8/3/2016,54,Pensacola,Apalachicola,1.701,0.005,0.29,0.0062,0.36,0.0063,0.36,0.011612,0.0150273,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_037,6/15/2016,167,25,29.66741,-85.3517,B,B,Yes,No,Yes,No,No,Ghost Crab,Yes,No,No,No,No,No,No,No,No,No,NA,NA,8/6/2016,219,32,52,Yes,,8/11/2016,0,0,103,2,0,1,2,108,0.954,0.954,1,103,5,103,5,,6/15/2016,8/6/2016,52,Pensacola,Apalachicola,1.516,0.0043,0.25,0.0049,0.28,0.0055,0.31,0.0245902,0.034153,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_038,6/16/2016,168,25,29.66694,-85.35169,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/6/2016,38,0,39,19,0,24,0,82,0.476,0.012,0.026,39,43,1,81,,6/16/2016,9/6/2016,82,Pensacola,Apalachicola,1.501,0.0037,0.21,0.0063,0.36,0.0067,0.38,0.0218579,0.0300546,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_039,7/28/2016,210,31,29.667048,-85.351558,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,10/17/2016,0,0,0,0,0,86,0,86,0,0,0,0,86,0,86,,7/28/2016,10/17/2016,81,Pensacola,Apalachicola,1.189,0.0035,0.2,0.0042,0.24,0.0049,0.28,0.0464481,0.0642077,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_040,7/2/2016,184,27,29.667058,-85.351463,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/20/2016,0,0,0,0,0,104,0,104,0,0,0,0,104,0,104,,7/2/2016,9/20/2016,80,Pensacola,Apalachicola,0.985,0.0035,0.2,0.0032,0.18,0.0039,0.22,0.0983607,0.1386612,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_041,6/17/2016,169,25,29.66708,-85.35096,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/6/2016,0,0,0,1,0,85,0,86,0,0,0,0,86,0,86,,6/17/2016,9/6/2016,81,Pensacola,Apalachicola,1.177,0.0028,0.16,0.0034,0.19,0.004,0.23,0.0532787,0.0812842,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_042,6/11/2016,163,24,29.66701,-85.35079,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,8/14/2016,227,34,64,Yes,,8/28/2016,19,0,55,48,0,23,0,126,0.437,0.286,0.655,55,71,36,90,,6/11/2016,8/14/2016,64,Pensacola,Apalachicola,1.135,0.0033,0.19,0.0033,0.19,0.0039,0.22,0.0498634,0.0730874,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_043,6/30/2016,182,27,29.66693,-85.350722,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,9/19/2016,0,0,0,0,0,60,0,60,0,0,0,0,60,0,60,,6/30/2016,9/19/2016,81,Pensacola,Apalachicola,2.163,0.007,0.4,0.0074,0.42,0.0079,0.45,0.0034153,0.0054645,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_044,6/7/2016,159,24,29.66699,-85.35071,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,8/3/2016,216,32,57,Yes,,8/7/2016,2,5,96,0,0,9,0,105,0.914,0.848,0.927,96,9,89,16,,6/7/2016,8/3/2016,57,Pensacola,Apalachicola,1.236,0.0049,0.28,0.0036,0.21,0.0042,0.24,0.0409836,0.0628415,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_045,7/1/2016,183,27,29.666656,-85.350255,B,B,No,No,No,NA,NA,NA,NA,No,Yes,No,No,No,No,No,No,No,NA,NA,8/20/2016,233,34,50,Yes,,8/24/2016,0,1,1,1,0,4,0,6,0.167,0,0,1,5,0,6,,7/1/2016,8/20/2016,50,Pensacola,Apalachicola,0.846,0.0043,0.25,0.0052,0.3,0.0028,0.16,0.2622951,0.4071038,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_046,7/1/2016,183,27,29.666656,-85.350255,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,8/26/2016,239,35,56,Yes,,8/31/2016,0,0,65,1,0,11,0,77,0.844,0.844,1,65,12,65,12,,7/1/2016,8/26/2016,56,Pensacola,Apalachicola,0.846,0.0043,0.25,0.0052,0.3,0.0028,0.16,0.2622951,0.4071038,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_047,6/26/2016,178,27,29.666454,-85.350173,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,No,Washed out,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,,6/26/2016,9/8/2016,74,Pensacola,Apalachicola,0.74,0.0043,0.24,0.0052,0.3,0.0027,0.16,0.3913935,0.545082,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_048,7/21/2016,203,30,29.666218,-85.350055,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,10/10/2016,0,0,0,0,0,86,0,86,0,0,0,0,86,0,86,,7/21/2016,10/10/2016,81,Pensacola,Apalachicola,0.739,0.0054,0.31,0.0066,0.38,0.003,0.17,0.2848361,0.4296448,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_050,7/18/2016,200,30,29.665812,-85.348785,B,B,No,No,No,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,10/7/2016,0,0,0,0,0,97,0,97,0,0,0,0,97,0,97,,7/18/2016,10/7/2016,81,Pensacola,Apalachicola,1.022,0.0021,0.12,0.0062,0.36,0.0073,0.42,0.0703552,0.1079235,0.045
2016,Cc,Cape San Blas AFB,CSAF_2016_051,7/15/2016,197,29,29.665235,-85.348291,F,F,No,No,No,NA,NA,NA,NA,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,Yes,,10/5/2016,0,0,0,0,0,93,0,93,0,0,0,0,93,0,93,,7/15/2016,10/5/2016,82,Pensacola,Pensacola,0.555,0.002,0.11,0.0072,0.41,0.0097,0.55,0.8845628,0.9303279,0.090
