Group,Pre_Post,Year,Region,Beach,Crawl_Type,Success_Nest,Date_Found,ID,Obstructed,Object_ID_Spec,Object_ID_Gen,People,Dist_HTL,Dist_Dune,East_Orig,North_Orig,Long_Orig,Lat_Orig,Relocated,East_Relo,North_Relo,Long_Relo,Lat_Relo,Relo_Reason,Comments
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,5/27/2011,AFC2,0,NA,NA,NA,0.0,42.4,406159,3344583,-87.9752,30.22918,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,5/27/2011,AFC1,0,NA,NA,NA,NA,NA,421361,3344436,-87.81722,30.22893,NA,NA,NA,NA,NA,NA,
NA,1_Pre,2011,Dauphin Island,Dauphin Island,Nest,1,6/4/2011,J01,0,NA,NA,NA,1.8,3.0,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
Ord_Control,1_Pre,2011,Gulf State Park,Gulf State Park,Nest,1,6/6/2011,G01,0,NA,NA,NA,29.7,8.8,437046,3346791,-87.65437,30.2511,Yes,437047,3346804,-87.65436,30.25122,Low elevation,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,6/6/2011,AFC4,0,NA,NA,NA,0.0,42.1,419384,3344357,-87.83776,30.22809,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,Gulf State Park,Gulf State Park,FC,0,6/6/2011,GFC1,0,NA,NA,NA,7.9,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,6/6/2011,HFC1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,6/7/2011,A07,0,NA,NA,NA,10.0,0.0,401312,3344641,-88.02557,30.22932,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,6/7/2011,A08,0,NA,NA,NA,10.0,0.0,401312,3344641,-88.02557,30.22932,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,6/7/2011,A07,0,NA,NA,NA,39.4,13.2,418347,3344393,-87.84854,30.22835,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,6/7/2011,B03,0,NA,NA,NA,11.5,23.0,426352,3345194,-87.76542,30.23608,Yes,426345,3345218,-87.76548,30.2363,Low elevation,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/8/2011,A09,0,NA,NA,NA,17.0,12.7,406210,3344596,-87.97467,30.2293,Yes,406205,3344613,-87.97472,30.22945,Near/At HTL,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/8/2011,A09,1,Unidentified,Unidentified,NA,17.2,12.8,406210,3344596,-87.97467,30.2293,Yes,406205,3344613,-87.97472,30.22945,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,6/9/2011,A10,0,NA,NA,NA,13.6,32.1,403225,3344159,-88.00565,30.22512,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,Gulf State Park,Gulf State Park,Nest,1,6/9/2011,G02,0,NA,NA,NA,33.3,34.8,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Low elevation,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,6/9/2011,AFC6,0,NA,NA,NA,0.0,NA,411157,3344753,-87.92328,30.23109,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,FC,0,6/9/2011,IFC1,0,NA,NA,NA,6.1,NA,450043,3349920,-87.51943,30.27994,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,6/9/2011,AFC5,0,NA,NA,NA,NA,NA,402786,3344090,-88.0102,30.22447,NA,NA,NA,NA,NA,NA,
NA,1_Pre,2011,Dauphin Island,Dauphin Island,FC,0,6/9/2011,JFC2,0,NA,NA,NA,NA,NA,373779,3344742,-88.31165,30.22768,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,6/9/2011,HFC2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/10/2011,A11,0,NA,NA,NA,13.4,39.7,403987,3344287,-87.99774,30.22634,Yes,403989,3344326,-87.99772,30.22669,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,6/10/2011,HFC3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,West Beach,Nest,1,6/11/2011,D01,1,Unidentified,Unidentified,NA,33.9,0.0,432307,3346050,-87.70358,30.24416,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,6/11/2011,B04,0,NA,NA,NA,25.8,1.2,427784,3345485,-87.75055,30.2388,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,6/11/2011,A13,0,NA,NA,NA,0.0,6.1,401367,3344691,-88.025,30.22977,Yes,402804,3344137,-88.01002,30.22489,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,6/11/2011,A12,0,NA,NA,NA,12.1,49.7,422096,3344496,-87.80959,30.22952,Yes,422076,3344563,-87.8098,30.23013,Low elevation,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,FC,0,6/11/2011,BFC1,0,NA,NA,NA,7.9,NA,427784,3345485,-87.75055,30.2388,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,West Beach,Nest,1,6/12/2011,D02,1,Unidentified,Unidentified,NA,13.9,14.5,432087,3346068,-87.70587,30.24431,Yes,432087,3346068,-87.70587,30.24431,Low elevation,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/13/2011,A14,0,NA,NA,NA,7.3,28.9,413355,3344642,-87.90043,30.23025,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,6/14/2011,B05,0,NA,NA,NA,5.8,38.9,423817,3344701,-87.79172,30.23148,Yes,423811,3344739,-87.79178,30.23182,Near/At HTL,
NA,1_Pre,2011,Dauphin Island,Dauphin Island,Nest,1,6/15/2011,J02,1,Unidentified,Unidentified,NA,0.0,0.0,391637,3346591,-88.1263,30.24608,Yes,391619,3346419,-88.12647,30.24453,Inundated,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,6/15/2011,B06,0,NA,NA,NA,23.3,17.9,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,FC,0,6/15/2011,BFC2,0,NA,NA,NA,5.5,37.0,427546,3345413,-87.75302,30.23813,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,6/15/2011,AFC2,0,NA,NA,NA,3.0,39.4,419834,3344340,-87.83308,30.22797,NA,NA,NA,NA,NA,NA,
NA,1_Pre,2011,Dauphin Island,Dauphin Island,Nest,1,6/16/2011,J03,0,NA,NA,NA,9.8,0.0,388732,3347063,-88.15653,30.25008,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/20/2011,A15,0,NA,NA,NA,18.8,24.8,407711,3344703,-87.95908,30.23038,Yes,407715,3344741,-87.95904,30.23073,Near/At HTL,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/22/2011,A16,0,NA,NA,NA,13.3,20.0,408402,3344778,-87.95191,30.23111,Yes,408388,3344759,-87.95205,30.23094,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,FC,0,6/22/2011,IFC2,0,NA,NA,NA,2.1,59.1,450040,3349914,-87.51946,30.27989,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/23/2011,A19,0,NA,NA,NA,29.3,6.9,407836,3344729,-87.95779,30.23063,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,6/23/2011,A17,0,NA,NA,NA,9.1,27.3,418984,3344370,-87.84192,30.22818,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/23/2011,A18,0,NA,NA,NA,5.5,36.1,409480,3344772,-87.94071,30.23114,Yes,409413,3344809,-87.94141,30.23147,Near/At HTL,
NA,1_Pre,2011,Dauphin Island,Dauphin Island,Nest,1,6/24/2011,J04,0,NA,NA,NA,3.6,90.9,391903,3345786,-88.12345,30.23885,Yes,391949,3345665,-88.12296,30.23776,Low elevation,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,6/24/2011,HFC4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,Nest,1,6/25/2011,H02,0,NA,NA,NA,12.1,49.1,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,6/25/2011,HFC5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,Nest,1,6/26/2011,I01,0,NA,NA,NA,0.0,21.2,448374,3349493,-87.53677,30.27602,Yes,448375,3349768,-87.53677,30.2785,Inundated,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/26/2011,A20,0,NA,NA,NA,16.7,31.5,415512,3344477,-87.878,30.22891,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/27/2011,A21,0,NA,NA,NA,6.7,19.4,408414,3344755,-87.95178,30.2309,Yes,408511,3344786,-87.95078,30.23119,Near/At HTL,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/27/2011,A06,0,NA,NA,NA,1.8,30.9,410295,3344784,-87.93224,30.23131,Yes,410306,3344811,-87.93213,30.23155,Near/At HTL,
Ord_Control,1_Pre,2011,Gulf State Park,Gulf State Park,Nest,1,6/27/2011,G03,0,NA,NA,NA,0.0,37.9,437103,3346785,-87.65378,30.25105,Yes,437136,3346812,-87.65344,30.2513,Inundated,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,6/30/2011,A22,0,NA,NA,NA,14.6,10.5,410820,3344784,-87.92678,30.23135,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,6/30/2011,AFC8,0,NA,NA,NA,0.0,43.6,411546,3344720,-87.91923,30.23082,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,7/1/2011,A23,1,Unidentified,Unidentified,NA,9.4,33.0,406801,3344638,-87.96853,30.22973,Yes,406796,3344664,-87.96859,30.22996,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,Nest,1,7/1/2011,H03,0,NA,NA,NA,19.1,NA,439129,3347229,-87.63274,30.25516,Yes,NA,NA,NA,NA,Near/At HTL,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,FC,0,7/2/2011,BFC3,0,NA,NA,NA,24.5,11.5,425062,3344933,-87.7788,30.23365,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,Gulf State Park,Gulf State Park,Nest,1,7/3/2011,G04,0,NA,NA,NA,22.7,49.7,438646,3347187,-87.63776,30.25475,Yes,NA,NA,NA,NA,Near/At HTL,
Treatment,1_Pre,2011,Gulf Shores,East Beach,FC,0,7/3/2011,EFC1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,7/3/2011,HFC6,1,Unidentified,Unidentified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,7/4/2011,B07,0,NA,NA,NA,12.1,15.5,425110,3344925,-87.7783,30.23358,Yes,425093,3345046,-87.77848,30.23467,Low elevation,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,7/5/2011,A24,0,NA,NA,NA,14.8,0.0,401192,3344235,-88.02678,30.22565,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/5/2011,AFC9,0,NA,NA,NA,19.1,66.7,422547,3344529,-87.80491,30.22985,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/6/2011,AFC10,0,NA,NA,NA,0.0,46.7,420108,3344357,-87.83024,30.22814,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/6/2011,AFC11,0,NA,NA,NA,0.0,51.8,420602,3344374,-87.8251,30.22833,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,7/7/2011,A25,0,NA,NA,NA,6.1,37.3,407495,3344682,-87.96132,30.23018,Yes,407506,3344718,-87.96121,30.2305,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,7/7/2011,A26,0,NA,NA,NA,10.0,37.6,403375,3344181,-88.00409,30.22533,Yes,403365,3344224,-88.0042,30.22572,Near/At HTL,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,7/7/2011,B08,1,Unidentified,Unidentified,NA,9.1,47.3,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
Treatment,1_Pre,2011,Gulf Shores,East Beach,FC,0,7/7/2011,EFC2,0,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,7/8/2011,A27,0,NA,NA,NA,25.3,21.2,418973,3344369,-87.84203,30.22817,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,Nest,1,7/8/2011,H05,0,NA,NA,NA,22.4,31.2,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/8/2011,AFC14,0,NA,NA,NA,6.1,36.1,402006,3344100,-88.01831,30.22449,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/8/2011,AFC15,0,NA,NA,NA,10.6,40.6,401928,3344102,-88.01912,30.22451,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,7/8/2011,AFC13,0,NA,NA,NA,9.7,43.0,407398,3344667,-87.96233,30.23003,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,7/8/2011,AFC12,0,NA,NA,NA,10.9,44.2,407386,3344667,-87.96246,30.23003,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/8/2011,AFC16,0,NA,NA,NA,0.9,75.8,419489,3344347,-87.83667,30.22801,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,East Beach,Nest,1,7/9/2011,E01,0,NA,NA,NA,11.8,10.6,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,7/9/2011,A28,1,Unidentified,Unidentified,NA,0.0,24.5,410984,3344760,-87.92508,30.23114,Yes,410943,3344782,-87.92551,30.23134,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,Nest,1,7/10/2011,I03,0,NA,NA,NA,8.2,12.7,448172,3349481,-87.53886,30.27591,Yes,448178,3349486,-87.5388,30.27595,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,Nest,1,7/10/2011,I02,0,NA,NA,NA,12.1,13.6,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,FC,0,7/10/2011,IFC3,0,NA,NA,NA,6.1,NA,448253,3349479,-87.53802,30.27589,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,7/11/2011,AFC18,0,NA,NA,NA,3.0,30.6,411231,3344739,-87.92251,30.23097,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,7/11/2011,A29,0,NA,NA,NA,0.0,31.5,418865,3344368,-87.84315,30.22816,Yes,418860,3344376,-87.84321,30.22823,Near/At HTL,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,7/11/2011,AFC17,0,NA,NA,NA,0.0,34.8,404302,3344338,-87.99447,30.22682,NA,NA,NA,NA,NA,NA,
NA,1_Pre,2011,Dauphin Island,Dauphin Island,Nest,1,7/12/2011,J05,0,NA,NA,NA,10.3,0.0,393373,3344207,-88.10802,30.22473,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,Nest,1,7/12/2011,H04,0,NA,NA,NA,23.0,27.6,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/12/2011,AFC19,0,NA,NA,NA,6.1,34.5,401604,3344132,-88.02249,30.22475,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,7/13/2011,B09,0,NA,NA,NA,24.2,15.5,424213,3344783,-87.78762,30.23225,Yes,424219,3344800,-87.78755,30.2324,Low elevation,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,7/13/2011,AFC20,1,Unidentified,Unidentified,NA,0.0,38.2,404396,3344342,-87.9935,30.22687,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,Nest,1,7/13/2011,I04,1,Unidentified,Unidentified,NA,6.1,43.9,449989,3349901,-87.51999,30.27976,Yes,449933,3349678,-87.52057,30.27775,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/14/2011,AFC23,0,NA,NA,NA,15.2,27.3,402020,3344113,-88.01816,30.22461,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/14/2011,AFC21,0,NA,NA,NA,21.8,33.6,403177,3344151,-88.00614,30.22505,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/14/2011,AFC22,0,NA,NA,NA,0.0,43.9,402269,3344084,-88.01557,30.22437,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/14/2011,AFC24,0,NA,NA,NA,0.0,44.5,401485,3344132,-88.02372,30.22474,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,FC,0,7/14/2011,BFC4,1,Unidentified,Unidentified,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,FC,0,7/14/2011,BFC5,0,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,FC,0,7/14/2011,IFC4,1,Unidentified,Unidentified,NA,12.1,NA,450230,3349930,-87.51749,30.28004,NA,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,7/15/2011,A31,0,NA,NA,NA,25.2,5.2,410429,3344792,-87.93085,30.23139,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,FC,0,7/15/2011,AFC25,1,Unidentified,Unidentified,NA,3.0,22.7,402385,3344089,-88.01437,30.22443,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,7/15/2011,A30,1,Unidentified,Unidentified,NA,3.0,22.7,402385,3344089,-88.01437,30.22443,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,7/15/2011,HFC7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,7/16/2011,B10,0,NA,NA,NA,8.8,37.0,425208,3344948,-87.77728,30.2338,Yes,NA,NA,NA,NA,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Alabama Point,Nest,1,7/18/2011,I05,0,NA,NA,NA,14.2,18.2,449458,3349800,-87.52551,30.27884,Yes,450297,3349728,-87.51678,30.27822,Near/At HTL,
Ord_Control,1_Pre,2011,Gulf State Park,Gulf State Park,Nest,1,7/18/2011,G05,0,NA,NA,NA,7.0,70.6,438529,3347101,-87.63897,30.25397,Yes,438531,3347190,-87.63897,30.25478,Near/At HTL,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,7/19/2011,HFC8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,West Beach,Nest,1,7/20/2011,D03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,7/21/2011,A32,0,NA,NA,NA,12.4,32.1,412245,3344683,-87.91197,30.23054,Yes,412251,3344702,-87.91191,30.23071,Near/At HTL,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,7/21/2011,A33,0,NA,NA,NA,2.3,35.8,418859,3344375,-87.84322,30.22822,Yes,405964,3344574,-87.97722,30.22908,Near/At HTL,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,7/22/2011,A34,0,NA,NA,NA,11.2,32.4,407789,3344687,-87.95827,30.23024,Yes,407828,3344711,-87.95787,30.23046,Near/At HTL,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,Nest,1,7/22/2011,B11,0,NA,NA,NA,9.7,33.6,424269,3344832,-87.78704,30.2327,Yes,424390,3362462,-87.78705,30.39178,Erosion,
Treatment,1_Pre,2011,Gulf Shores,Laguna Key,FC,0,7/22/2011,BFC6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,7/23/2011,A35,0,NA,NA,NA,27.0,NA,419459,3344374,-87.83698,30.22825,No,NA,NA,NA,NA,NA,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,7/24/2011,A36,0,NA,NA,NA,28.2,4.5,410444,3344789,-87.93069,30.23136,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,West Beach,Nest,1,7/24/2011,C04,0,NA,NA,NA,18.8,19.7,429336,3345701,-87.73444,30.24084,Yes,429327,3345722,-87.73453,30.24103,Low elevation,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,FC,0,7/27/2011,AFC26,0,NA,NA,NA,0.0,33.9,415008,3344498,-87.88324,30.22907,NA,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Gulf Shores,West Beach,Nest,1,7/29/2011,C05,0,NA,NA,NA,0.0,37.3,430678,3345857,-87.7205,30.24232,Yes,430645,3345890,-87.72085,30.24262,Inundated,
Ord_Control,1_Pre,2011,Gulf State Park,Gulf State Park,Nest,1,7/31/2011,G06,0,NA,NA,NA,55.2,0.0,437320,3346878,-87.65153,30.2519,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,7/31/2011,A38,0,NA,NA,NA,2.4,5.2,402947,3344113,-88.00853,30.22469,Yes,402885,3344150,-88.00918,30.22502,Near/At HTL,
Pop_Control,1_Pre,2011,Fort Morgan,Fort Morgan,Nest,1,7/31/2011,A37,0,NA,NA,NA,18.8,20.3,406154,3344585,-87.97525,30.2292,No,NA,NA,NA,NA,NA,
Treatment,1_Pre,2011,Orange Beach,Orange Beach,FC,0,8/1/2011,HFC9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,8/4/2011,A39,0,NA,NA,NA,67.9,0.0,403057,3344186,-88.00739,30.22535,No,NA,NA,NA,NA,NA,
Ord_Control,1_Pre,2011,BSNWR,Refuge,Nest,1,8/4/2011,A39,0,NA,NA,NA,67.9,0.0,403057,3344186,-88.00739,30.22535,No,NA,NA,NA,NA,NA,
